"","batter_id","year","pitches","stuff_rv_70","pitch_rv_150","woba_fg"
"488",614179,2021,3,1.675,3.092,NA
"489",615698,2021,13,0.653,0.797,0.4395275
"490",615699,2021,21,0.304,0.034,0
"491",620443,2021,1459,0.075,-0.107,0.319486173184358
"492",621002,2021,358,0.038,0.398,0.2709705
"493",621005,2021,46,-0.019,-0.234,0.142797454545455
"494",621006,2021,391,0.153,-0.291,0.241967303921569
"495",621008,2021,12,0.548,3.513,0.3458585
"496",621011,2021,517,0.268,0.962,0.325055712121212
"497",621020,2021,2432,-0.057,0.05,0.322183424836601
"498",621028,2021,1869,0.126,0.379,0.249480056710775
"499",621035,2021,2320,0.039,0.191,0.340786895390071
"500",621043,2021,2555,0.008,0.533,0.362482399678973
"501",621052,2021,5,0.305,2.624,0
"502",621074,2021,3,-1.543,-2.852,0
"503",621076,2021,14,0.031,0.798,0.293018333333333
"504",621107,2021,116,0.486,-0.117,0.0256191481481481
"505",621111,2021,328,0.379,0.682,0.143571666666667
"506",621121,2021,16,-0.407,-1.448,0
"507",621219,2021,132,0.367,0.342,0
"508",621244,2021,12,-1.28,-2.683,0
"509",621249,2021,16,0.235,0.388,0
"510",621261,2021,3,0.388,-2.423,NA
"511",621311,2021,800,0.171,0.524,0.248557013824885
"512",621345,2021,2,0.89,0.483,NA
"513",621348,2021,4,1.191,0.919,0
"514",621433,2021,1167,0.071,0.499,0.31682794265233
"515",621438,2021,1010,-0.017,0.662,0.331893256704981
"516",621439,2021,901,0.059,0.466,0.426151919354839
"517",621446,2021,1080,0.007,0.646,0.27631635335689
"518",621450,2021,206,0.267,0.625,0.113397448275862
"519",621453,2021,1173,0.266,0.783,0.329970543252595
"520",621458,2021,216,0.174,0.783,0.182818767857143
"521",621466,2021,1284,0.049,0.731,0.309824287581699
"522",621493,2021,864,0.058,0.315,0.332430824034335
"523",621500,2021,172,0.122,-0.093,0.166021844444444
"524",621512,2021,481,0.024,0.226,0.260928391025641
"525",621532,2021,94,0.283,0.573,0.213073107142857
"526",621550,2021,1605,-0.044,0.386,0.3491245626703
