"MLBAMID","Name"
621438,"Tyrone Taylor"
643289,"Mauricio Dubón"
150090,"D'Angelo Jimenez"
435338,"Tadahito Iguchi"
669127,"Shea Langeliers"
500208,"Yangervis Solarte"
446263,"Lucas Duda"
429710,"Chad Tracy"
657041,"Lane Thomas"
643565,"Mike Tauchman"
542932,"Jon Berti"
425506,"Jody Gerut"
683011,"Anthony Volpe"
425548,"Garrett Atkins"
425853,"Bobby Crosby"
407487,"Juan Rivera"
642350,"Jose Siri"
110135,"Edgardo Alfonzo"
571788,"Brock Holt"
407296,"Carlos Zambrano"
691026,"Masyn Winn"
456714,"Billy Butler"
681481,"Kerry Carpenter"
686217,"Sal Frelick"
431159,"Kelly Shoppach"
602104,"Ramón Urías"
400018,"Miguel Olivo"
677800,"Wilyer Abreu"
518618,"Derek Dietrich"
656716,"Zach McKinstry"
640457,"Austin Meadows"
458085,"Chris Coghlan"
570256,"Gregory Polanco"
678662,"Ezequiel Tovar"
220194,"Erubiel Durazo"
663624,"Ryan Mountcastle"
596103,"Austin Slater"
475253,"Justin Smoak"
430838,"Willy Taveras"
217915,"Lew Ford"
676609,"José Caballero"
446386,"Brandon Guyer"
440251,"Ryan Roberts"
628356,"Jung Ho Kang"
624415,"Cavan Biggio"
571466,"Tucker Barnhart"
406670,"Rob Mackowiak"
121640,"Tim Salmon"
537953,"Daniel Nava"
666158,"Gavin Lux"
676059,"Jordan Westburg"
425844,"Zack Greinke"
425796,"Jeff Francoeur"
519306,"Steven Souza Jr."
111742,"Jeromy Burnitz"
461858,"Trevor Plouffe"
493596,"Gordon Beckham"
446381,"Darwin Barney"
643393,"Tony Kemp"
649966,"Luis Urías"
122497,"J.T. Snow"
455139,"Robinson Chirinos"
123697,"Robin Ventura"
408212,"Gabe Gross"
676391,"Ernie Clement"
668942,"Josh Rojas"
459991,"Gaby Sanchez"
421124,"Ramon Santiago"
133321,"Alex Cora"
430668,"Scott Hairston"
457454,"Jarrod Saltalamacchia"
664983,"Jake McCarthy"
592273,"Brandon Drury"
681624,"Andy Pages"
430565,"Kazuo Matsui"
346795,"Endy Chavez"
691406,"Junior Caminero"
112087,"Sean Casey"
435625,"Nate Schierholtz"
668670,"Jake Rogers"
624512,"Reese McGuire"
284568,"Sean Burroughs"
444379,"John Jaso"
518516,"Madison Bumgarner"
683737,"Michael Busch"
572228,"Luke Voit"
493127,"Akinori Iwamura"
660821,"Jesús Sánchez"
448605,"Justin Ruggiano"
444875,"Matt Murton"
606115,"Orlando Arcia"
670242,"Matt Wallner"
477195,"Ike Davis"
489149,"Logan Morrison"
543510,"James McCann"
605480,"Mallex Smith"
430605,"Ryan Raburn"
425794,"Adam Wainwright"
571657,"Kyle Farmer"
407833,"John Buck"
671732,"Lawrence Butler"
673962,"Josh Jung"
678882,"Ceddanne Rafaela"
150449,"Rick Ankiel"
672640,"Otto Lopez"
122644,"Matt Stairs"
519299,"Eric Sogard"
